period_raw,United States,China,Germany,Japan,India,United Kingdom,France,Brazil
2022M01,1.0,6.355984,0.883187,114.8574,74.48129,0.737403,0.883187,5.526905
2022M02,1.0,6.344892,0.882085,115.1958,74.9804,0.738856,0.882085,5.188975
2022M03,1.0,6.346674,0.909145,118.6239,76.21767,0.759474,0.909145,4.969
2022M04,1.0,6.427762,0.92475,126.3902,76.15152,0.772511,0.92475,4.746452
2022M05,1.0,6.693273,0.945073,128.9009,77.29745,0.802988,0.945073,4.948773
2022M06,1.0,6.69425,0.946729,134.0145,78.08195,0.812356,0.946729,5.062136
2022M07,1.0,6.733881,0.981742,136.709,79.58488,0.834202,0.981742,5.385214
2022M08,1.0,6.802761,0.988171,135.2607,79.52746,0.834712,0.988171,5.144283
2022M09,1.0,7.017591,1.009391,143.2195,80.21502,0.881992,1.009391,5.238023
2022M10,1.0,7.189857,1.016199,146.9433,82.331,0.885877,1.016199,5.249857
2022M11,1.0,7.172341,0.980245,142.3016,81.7733,0.852001,0.980245,5.273159
2022M12,1.0,6.976409,0.944612,134.8195,82.4685,0.821415,0.944612,5.249909
2023M01,1.0,6.788455,0.927857,130.2648,81.89675,0.817824,0.927857,5.1905
2023M02,1.0,6.835538,0.933225,132.8801,82.57294,0.827536,0.933225,5.165875
2023M03,1.0,6.894424,0.933191,133.6075,82.27812,0.82359,0.933191,5.204565
2023M04,1.0,6.887775,0.912852,133.5395,82.00475,0.804451,0.912852,5.016375
2023M05,1.0,6.9865,0.919601,137.0143,82.29354,0.801387,0.919601,4.980957
2023M06,1.0,7.166955,0.923365,141.4164,82.23586,0.79265,0.923365,4.851295
2023M07,1.0,7.186905,0.904308,141.0602,82.16419,0.775965,0.904308,4.805381
2023M08,1.0,7.250478,0.91622,144.6704,82.78096,0.786743,0.91622,4.902174
2023M09,1.0,7.295653,0.936294,147.714,83.04845,0.80665,0.936294,4.946833
2023M10,1.0,7.304831,0.946582,149.5627,83.22386,0.821471,0.946582,5.064023
2023M11,1.0,7.224955,0.924854,149.7764,83.29377,0.805288,0.924854,4.899773
2023M12,1.0,7.142857,0.917624,143.951,83.25512,0.790549,0.917624,4.901143
2024M01,1.0,7.167891,0.915924,145.7865,83.11335,0.786842,0.915924,4.914348
2024M02,1.0,7.194095,0.92663,149.5124,82.9726,0.791951,0.92663,4.963238
2024M03,1.0,7.203452,0.919416,149.7936,83.02037,0.786339,0.919416,4.981119
2024M04,1.0,7.238159,0.932155,153.6589,83.3883,0.798888,0.932155,5.127795
2024M05,1.0,7.232848,0.925469,155.9517,83.3862,0.79172,0.925469,5.140022
2024M06,1.0,7.255725,0.92923,157.881,83.47768,0.786544,0.92923,5.4007
2024M07,1.0,7.261935,0.92194,157.7815,83.58874,0.777613,0.92194,5.538717
2024M08,1.0,7.148909,0.907668,146.0725,83.90682,0.77327,0.907668,5.559205
2024M09,1.0,7.078238,0.900744,142.9145,83.80295,0.757209,0.900744,5.540143
2024M10,1.0,7.092783,0.917534,149.765,84.02246,0.765885,0.917534,5.623304
2024M11,1.0,7.210571,0.940934,153.685,84.35629,0.78434,0.940934,5.806143
2024M12,1.0,7.282364,0.955023,153.8893,84.99432,0.791049,0.955023,6.115955
